epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,110.312,1.7378,2.38427,1.96353,0.83821,0.11475,0.0857,0.02706,2.56888,6.00909,3.07876,0.0033296,0.0033296,0.0700336
2,214.872,1.66315,2.0991,1.88158,0.59752,0.18018,0.13529,0.04072,2.62221,10.1666,3.08578,0.006531,0.006531,0.0399017
3,317.38,1.55343,1.88388,1.81123,0.53005,0.50103,0.49678,0.30511,1.3559,1.55943,1.82164,0.00960041,0.00960041,0.00963778
4,420.509,1.4554,1.75827,1.72188,0.5883,0.58677,0.5774,0.36104,1.28539,1.31968,1.73475,0.009406,0.009406,0.009406
5,523.723,1.40359,1.63706,1.68472,0.52265,0.58072,0.58062,0.38528,1.11416,1.25754,1.59806,0.009208,0.009208,0.009208
6,625.753,1.35711,1.56138,1.64178,0.52229,0.6048,0.5559,0.38326,1.03251,1.32021,1.55274,0.00901,0.00901,0.00901
7,726.918,1.29305,1.44821,1.59948,0.50481,0.72597,0.63725,0.40219,1.09072,1.22905,1.5739,0.008812,0.008812,0.008812
8,829.668,1.27198,1.40565,1.57842,0.63561,0.72935,0.67996,0.44204,1.01756,1.06177,1.5175,0.008614,0.008614,0.008614
9,932.763,1.20178,1.30311,1.52774,0.6843,0.72182,0.73688,0.46458,1.01834,0.93376,1.50174,0.008416,0.008416,0.008416
10,1036.21,1.18114,1.28987,1.51176,0.63955,0.77625,0.66385,0.43882,1.0125,1.07064,1.51404,0.008218,0.008218,0.008218
11,1139.02,1.19379,1.29419,1.51929,0.64565,0.68071,0.61146,0.40304,0.99661,1.04685,1.50684,0.00802,0.00802,0.00802
12,1242.77,1.14545,1.21668,1.48744,0.61503,0.80563,0.74531,0.4812,0.9617,0.92241,1.46635,0.007822,0.007822,0.007822
13,1346.59,1.15041,1.18671,1.48755,0.75967,0.73137,0.76946,0.49876,0.96873,0.91835,1.46424,0.007624,0.007624,0.007624
14,1450.08,1.1355,1.16531,1.46636,0.71404,0.76248,0.73167,0.47583,0.9473,0.84839,1.44969,0.007426,0.007426,0.007426
15,1552.46,1.11035,1.16152,1.45288,0.73374,0.73247,0.73672,0.48542,0.9404,0.85578,1.44353,0.007228,0.007228,0.007228
16,1653.67,1.10853,1.11701,1.45614,0.76142,0.71685,0.71897,0.48771,0.93039,0.9017,1.45175,0.00703,0.00703,0.00703
17,1756.99,1.07989,1.10869,1.4321,0.73063,0.78811,0.79657,0.52976,0.91739,0.80868,1.42433,0.006832,0.006832,0.006832
18,1861.55,1.06957,1.06955,1.42559,0.73933,0.79006,0.80795,0.52494,0.92377,0.8112,1.41296,0.006634,0.006634,0.006634
