epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,101.645,1.26746,2.68221,1.57769,0.45604,0.44021,0.48236,0.34091,1.04734,1.52961,1.59885,0.0033296,0.0033296,0.0700336
2,195.448,1.19436,1.80967,1.52054,0.54342,0.61208,0.59284,0.38767,1.15487,1.24661,1.60626,0.006531,0.006531,0.0399017
3,288.45,1.27192,1.72777,1.57917,0.69983,0.62211,0.65037,0.40638,1.12945,1.3036,1.62579,0.00960041,0.00960041,0.00963778
4,382.454,1.3341,1.69442,1.60604,0.6025,0.67381,0.64214,0.41576,1.16581,1.23896,1.64537,0.009406,0.009406,0.009406
5,476.514,1.30765,1.55897,1.59151,0.60062,0.4501,0.5354,0.21527,2.11773,2.81643,2.50089,0.009208,0.009208,0.009208
6,571.344,1.25168,1.48753,1.54086,0.61973,0.75423,0.67658,0.43697,1.03392,1.06326,1.51001,0.00901,0.00901,0.00901
7,666.708,1.2163,1.35965,1.51696,0.57607,0.7735,0.77364,0.44692,1.15573,1.10979,1.60635,0.008812,0.008812,0.008812
8,759.246,1.17939,1.29597,1.4955,0.53665,0.59691,0.61275,0.26559,2.03639,2.50206,2.47075,0.008614,0.008614,0.008614
9,852.718,1.12234,1.19755,1.45196,0.71634,0.79568,0.82637,0.51689,0.98731,0.91163,1.47541,0.008416,0.008416,0.008416
10,946.438,1.12164,1.18893,1.4465,0.77705,0.79976,0.7863,0.49264,0.9877,0.83192,1.48101,0.008218,0.008218,0.008218
11,1040.33,1.13665,1.1763,1.45791,0.73159,0.78977,0.81878,0.52511,0.95121,0.87288,1.45372,0.00802,0.00802,0.00802
12,1133.74,1.08366,1.12615,1.42592,0.63406,0.80779,0.79047,0.52629,0.95093,0.94986,1.4572,0.007822,0.007822,0.007822
13,1227.51,1.06465,1.07095,1.40674,0.81458,0.78782,0.82811,0.56081,0.92064,0.79846,1.42602,0.007624,0.007624,0.007624
14,1322.48,1.06378,1.06006,1.4028,0.80124,0.79907,0.86273,0.55339,0.9555,0.75582,1.46159,0.007426,0.007426,0.007426
15,1415.82,1.04318,1.02626,1.39217,0.82636,0.78905,0.85149,0.57469,0.89655,0.70886,1.39629,0.007228,0.007228,0.007228
16,1510.69,1.03377,1.00526,1.38936,0.85551,0.78908,0.8738,0.57371,0.93284,0.70938,1.42941,0.00703,0.00703,0.00703
17,1603.96,1.00081,0.96205,1.37154,0.85084,0.82497,0.8807,0.59323,0.90139,0.68943,1.40626,0.006832,0.006832,0.006832
18,1697.93,0.99317,0.96096,1.35977,0.85624,0.82408,0.87955,0.58397,0.9218,0.69887,1.42317,0.006634,0.006634,0.006634
19,1791.54,0.99466,0.92407,1.36311,0.85423,0.82617,0.88939,0.59755,0.90702,0.70248,1.41149,0.006436,0.006436,0.006436
20,1885.63,0.97715,0.90172,1.34772,0.83339,0.85659,0.90693,0.60803,0.87448,0.65517,1.38026,0.006238,0.006238,0.006238
21,1980.32,0.97125,0.9072,1.34164,0.82036,0.83027,0.87997,0.60031,0.85712,0.68812,1.37815,0.00604,0.00604,0.00604
22,2073.6,0.94456,0.87449,1.32388,0.89586,0.80152,0.88883,0.58579,0.88552,0.67997,1.3913,0.005842,0.005842,0.005842
23,2167.05,0.93945,0.85066,1.32179,0.85704,0.84496,0.89032,0.60239,0.88924,0.62876,1.39398,0.005644,0.005644,0.005644
24,2260.71,0.91825,0.8532,1.31597,0.84889,0.83023,0.88442,0.60597,0.87395,0.63793,1.38722,0.005446,0.005446,0.005446
25,2354.42,0.91329,0.83826,1.30564,0.89774,0.85185,0.91117,0.60831,0.87668,0.61275,1.39166,0.005248,0.005248,0.005248
26,2449.58,0.91261,0.82579,1.30365,0.83958,0.86704,0.91064,0.62945,0.83134,0.61145,1.35442,0.00505,0.00505,0.00505
27,2543.15,0.88582,0.81564,1.30058,0.89475,0.84945,0.9049,0.61328,0.8716,0.61775,1.38688,0.004852,0.004852,0.004852
28,2636.97,0.88179,0.80323,1.28546,0.89242,0.86726,0.90295,0.61176,0.86949,0.61139,1.37992,0.004654,0.004654,0.004654
29,2731.17,0.86752,0.76615,1.28025,0.88909,0.83651,0.89866,0.61461,0.84935,0.62854,1.37701,0.004456,0.004456,0.004456
30,2827.19,0.85674,0.76101,1.26736,0.92039,0.87563,0.91755,0.62655,0.84872,0.5757,1.37296,0.004258,0.004258,0.004258
31,2921.42,0.84361,0.74967,1.26435,0.91068,0.85475,0.91438,0.63132,0.85474,0.59947,1.37107,0.00406,0.00406,0.00406
32,3015.09,0.83985,0.74703,1.26291,0.89522,0.87602,0.91471,0.6387,0.85012,0.56996,1.37198,0.003862,0.003862,0.003862
33,3109.52,0.84944,0.74608,1.27239,0.86726,0.84856,0.89671,0.62794,0.85029,0.58488,1.37906,0.003664,0.003664,0.003664
34,3203.47,0.81445,0.70597,1.24385,0.8964,0.86124,0.91595,0.63114,0.86518,0.5533,1.39345,0.003466,0.003466,0.003466
35,3297.31,0.83478,0.73447,1.2584,0.90636,0.87958,0.92048,0.63087,0.84169,0.54158,1.36893,0.003268,0.003268,0.003268
36,3390.4,0.79369,0.69105,1.23017,0.89978,0.87435,0.91158,0.62567,0.8396,0.56521,1.3688,0.00307,0.00307,0.00307
37,3483.48,0.79026,0.69052,1.23028,0.87869,0.85902,0.9002,0.62713,0.83607,0.58239,1.37782,0.002872,0.002872,0.002872
38,3576.5,0.77908,0.67287,1.22376,0.91157,0.8464,0.90475,0.63381,0.8332,0.54896,1.3799,0.002674,0.002674,0.002674
39,3670.57,0.77221,0.6678,1.21794,0.92322,0.85615,0.91189,0.63665,0.8313,0.54069,1.37427,0.002476,0.002476,0.002476
40,3764.87,0.76897,0.66468,1.2152,0.92606,0.86383,0.91389,0.63879,0.82448,0.53185,1.37664,0.002278,0.002278,0.002278
41,3857.12,0.6922,0.53511,1.21222,0.91355,0.87954,0.91414,0.63938,0.82617,0.51759,1.37249,0.00208,0.00208,0.00208
42,3947.55,0.67511,0.52268,1.20483,0.90572,0.87764,0.90924,0.63916,0.83049,0.52036,1.38886,0.001882,0.001882,0.001882
43,4037.76,0.65753,0.49804,1.19254,0.90102,0.86785,0.90783,0.63383,0.83337,0.52177,1.38905,0.001684,0.001684,0.001684
44,4127.83,0.65299,0.49273,1.18681,0.91794,0.87018,0.90722,0.63879,0.83682,0.50673,1.4072,0.001486,0.001486,0.001486
45,4217.61,0.62983,0.47273,1.17216,0.89685,0.87063,0.89976,0.63367,0.83629,0.52118,1.40422,0.001288,0.001288,0.001288
46,4309.71,0.62137,0.47509,1.16578,0.91685,0.87728,0.90737,0.63391,0.83006,0.50788,1.41205,0.00109,0.00109,0.00109
47,4400.1,0.61129,0.4673,1.15874,0.88857,0.87753,0.90745,0.63861,0.82705,0.50847,1.41511,0.000892,0.000892,0.000892
48,4490.45,0.59872,0.45495,1.14701,0.89177,0.88033,0.90463,0.63223,0.82329,0.51223,1.41263,0.000694,0.000694,0.000694
49,4581.66,0.5825,0.43933,1.12898,0.90057,0.87277,0.90617,0.63588,0.82183,0.50194,1.41712,0.000496,0.000496,0.000496
50,4673.31,0.58825,0.44187,1.13901,0.88195,0.88133,0.89885,0.63375,0.83025,0.50906,1.42854,0.000298,0.000298,0.000298
