epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,120.819,1.25492,2.64939,1.54959,0.38545,0.4955,0.50864,0.32098,1.06414,1.77912,1.43908,0.0033296,0.0033296,0.0700336
2,235.026,1.16304,1.74972,1.4606,0.40041,0.69217,0.51607,0.2468,1.44723,2.75846,1.71454,0.006531,0.006531,0.0399017
3,346.969,1.20321,1.61112,1.5018,0.58505,0.65672,0.66822,0.37994,1.14918,1.59082,1.56911,0.00960041,0.00960041,0.00963778
4,459.325,1.2336,1.52656,1.51123,0.70178,0.63829,0.68697,0.4501,1.05641,1.06945,1.44091,0.009406,0.009406,0.009406
5,572.44,1.20639,1.40583,1.48402,0.74709,0.74685,0.78237,0.49597,0.96557,0.93337,1.37924,0.009208,0.009208,0.009208
6,683.787,1.16556,1.3008,1.45135,0.82042,0.78407,0.8382,0.52295,0.95436,0.81773,1.31676,0.00901,0.00901,0.00901
7,795.465,1.11534,1.2101,1.4191,0.74152,0.76902,0.77958,0.50773,0.95986,0.89428,1.32871,0.008812,0.008812,0.008812
8,908.802,1.10192,1.16198,1.40602,0.83745,0.79129,0.86658,0.55616,0.92485,0.82799,1.3216,0.008614,0.008614,0.008614
9,1019.51,1.04961,1.08931,1.37125,0.7752,0.77085,0.82541,0.52085,1.07034,0.9546,1.42958,0.008416,0.008416,0.008416
10,1133.15,1.04276,1.06451,1.35888,0.88686,0.80357,0.88313,0.57521,0.90725,0.76379,1.27795,0.008218,0.008218,0.008218
11,1244.09,1.05994,1.07226,1.37097,0.78944,0.82689,0.86146,0.55436,0.9399,0.78144,1.2988,0.00802,0.00802,0.00802
12,1352.75,1.01367,1.00115,1.34106,0.82175,0.80773,0.86579,0.56742,0.91748,0.72922,1.33164,0.007822,0.007822,0.007822
13,1461.41,1.00752,0.97239,1.33907,0.85322,0.80988,0.87517,0.58622,0.88566,0.68826,1.2945,0.007624,0.007624,0.007624
14,1569.08,1.00595,0.96947,1.33793,0.82686,0.81819,0.87667,0.58578,0.90461,0.72415,1.31353,0.007426,0.007426,0.007426
15,1679.28,0.98029,0.94693,1.31871,0.91104,0.83171,0.89484,0.61228,0.85786,0.67654,1.22519,0.007228,0.007228,0.007228
16,1788.56,0.97796,0.91824,1.31799,0.88193,0.78339,0.86779,0.57899,0.91456,0.70996,1.28391,0.00703,0.00703,0.00703
17,1899.72,0.95021,0.89062,1.30191,0.86064,0.85471,0.87482,0.58777,0.88589,0.64244,1.25049,0.006832,0.006832,0.006832
18,2012.09,0.94703,0.88633,1.29586,0.87619,0.85867,0.88403,0.60259,0.87287,0.63346,1.26377,0.006634,0.006634,0.006634
19,2121.89,0.94476,0.86259,1.29795,0.90572,0.84369,0.90629,0.61306,0.88597,0.64973,1.2359,0.006436,0.006436,0.006436
20,2231.28,0.91677,0.83783,1.27667,0.88957,0.85307,0.89337,0.61335,0.89234,0.64891,1.25673,0.006238,0.006238,0.006238
21,2338.49,0.91814,0.83301,1.27864,0.88677,0.80387,0.87926,0.61322,0.84139,0.6536,1.255,0.00604,0.00604,0.00604
22,2446.18,0.90198,0.81776,1.26347,0.90646,0.82729,0.9052,0.61076,0.88225,0.62279,1.24207,0.005842,0.005842,0.005842
23,2553.51,0.88892,0.79835,1.25918,0.90797,0.84264,0.90161,0.61076,0.85902,0.60307,1.25273,0.005644,0.005644,0.005644
24,2660.84,0.87857,0.79621,1.25543,0.91106,0.856,0.90529,0.61907,0.84466,0.6116,1.24425,0.005446,0.005446,0.005446
25,2767.19,0.87473,0.79187,1.24794,0.91447,0.851,0.91064,0.62489,0.84003,0.60141,1.23207,0.005248,0.005248,0.005248
26,2872.3,0.86746,0.78005,1.24092,0.89791,0.85304,0.90941,0.62942,0.83602,0.58044,1.22113,0.00505,0.00505,0.00505
